BAGLANTI_TIP_ID;HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS;GIDIS_CALISMA_SAATI;DONUS_CALISMA_SAATI
2;658;TOKİ - MENEMEN AKTARMA MERKEZİ;ASARLIK TOKİ EVLERİ-80. YIL CADDESİ-MENEMEN DEVLET HASTANESİ;;TOKİ;MENEMEN AKTARMA MERKEZİ;05:50 - 23:25;06:30 - 00:15
2;660;YENİ FOÇA - İZMİR OTOGAR;KARAGÖZ CADDESİ-ANADOLU CADDESİ-ANKARA CADDESİ;;YENİ FOÇA;OTOGAR;05:00 - 22:40;06:45 - 00:20
2;662;CENGİZHAN - KEMER;ADLİYE - MERSİNLİ - YENİŞEHİR HASTANELER;;CENGİZHAN;KEMER AKT.;06:05 - 19:25;07:05 - 20:15
2;671;ŞİRİNYER AKTARMA MERKEZİ - F.ALTAY AKTARMA MERKEZİ;AKINCILAR MAH.- CENNETÇEŞME - ÇEVREYOLU;;ŞİRİNYER AKTARMA;F.ALTAY AKT.;06:00 - 00:00;06:00 - 00:00
2;676;TINAZTEPE - ŞİRİNYER AKTARMA MERKEZİ;KURUÇEŞME -YILDIZ MAH.- MENDERES CAD;;TINAZTEPE;ŞİRİNYER AKT.;06:00 - 23:00;06:40 - 00:00
2;691;GAZİEMİR - LOZAN MEYDAN;KARABAĞLAR - İKİÇEŞMELİK;;GAZİEMİR;LOZAN MEYDANI;06:00 - 00:00;06:00 - 00:20
2;692;KARAKUYU - PANCAR AKTARMA;GÖL SOKAK;;KARAKUYU;PANCAR AKTARMA;06:35 - 18:50;07:05 - 19:15
2;695;ULUKENT KOOP - EGEKENT AKTARMA MERKEZİ;ULUKENT AKTARMA - 7617 SK. - 9501 SK.;;ULUKENT KOOP;EGEKENT AKTARMA MERKEZİ;06:00 - 23:00;06:30 - 23:30
2;697;BEYDAĞ - İZMİR OTOGAR;KAYMAKÇI-OPTİMUM ALIŞVERİŞ MERKEZİ;Hattımız İztaşıt Tarafından işletilmektedir. ESHOT otogar son durağını kullanmaktadır.;BEYDAĞ;İZMİR OTOGAR;07:15 - 11:30;11:15 - 17:00
2;698;ASARLIK TOPLU KONUTLARI - ULUKENT AKTARMA MERKEZİ 1;KOYUNDERE;;ASARLIK TOPLU KONUTLARI;ULUKENT AKTARMA MERKEZİ;05:50 - 23:20;06:25 - 00:00
2;699;M.ERENER - KEMER;BAYRAKLI ŞEHİR HASTANESİ - ÇAY MAH. - ADLİYE - YENİŞEHİR HASTANELER;;M.ERENER;KEMER AKT.;06:00 - 19:50;06:45 - 21:05
2;701;TORBALI - TEKELİ;TEPEKÖY AKT. - KUŞÇUBURUN - AYRANCILAR - PANCAR;;TORBALI;TEKELİ;05:25 - 22:25;06:20 - 00:00
2;705;AYRANCILAR - SARNIÇ AKTARMA MERKEZİ;AYRANCILAR - YEŞİLKÖY;;AYRANCILAR;SARNIÇ AKT.;05:35 - 00:10;05:50 - 00:10
2;707;PANCAR AKTARMA MERKEZİ - MENDERES;Y.BULGURCA - OĞLANANASI - KISIKKÖY - CUMAOVASI AKT.;;PANCAR;MENDERES;05:40 - 21:30;05:50 - 22:20
