HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS
475;TINAZTEPE ÜNİVERSİTESİ - HALKAPINAR METRO;TELSİZLER-TOROZ CAD - BOĞAZİÇİ CAD;Hattımız Semt Pazarı'nın kurulduğu günlerde Samsun Caddesi güzergahını kullanmaktadır.;TINAZTEPE ÜNİVERSİTESİ;HALKAPINAR METRO
476;TINAZTEPE - ŞİRİNYER AKTARMA MERKEZİ;KURUÇEŞME - BUCA KOOP - MENDERES CAD.;;TINAZTEPE;ŞİRİNYER AKT.
477;NAFİZ GÜRMAN - HALKAPINAR METRO2;GÜMÜŞPALA - NALDÖKEN - ALTINYOL;;NAFİZ GÜRMAN;HALKAPINAR METRO 2
480;İNCİRALTI - ÜÇKUYULAR İSKELE;BALÇOVA - ATA CAD.-F. ALTAY;;İNCİRALTI;ÜÇKUYULAR İSKELE
481;İNCİRALTI - BALÇOVA;BAHÇELERARASI- YILDIZ SOKAK - ÜÇKUYULAR İSKELE;;İNCİRALTI;BALÇOVA
484;YEŞİLBAĞLAR - KONAK;INKILAP İSTASYON - AKINCILAR - EŞREFPAŞA;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR.;YEŞİLBAĞLAR;KONAK
485;GAZİEMİR İLÇE TERMİNALİ - KONAK;GÖKSU - YEŞİLBAĞLAR - FIRAT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR.;GAZİEMİR İLÇE TERMİNALİ;KONAK
486;OYAK SİTESİ - İNCİRALTI;BAKÜ BULV.-ÜÇKUYULAR İSKELE;;OYAK SİTESİ;İNCİRALTI
487;DEMİRKÖPRÜ - KARŞIYAKA;GÜNSAZAK BULV. - GİRNE;;DEMİRKÖPRÜ;KARŞIYAKA İSKELE
490;TINAZTEPE - ÜÇYOL;DOKUZ ÇEŞMELER - ŞİRİNYER - HALİDE EDİP ADIVAR CAD.;;TINAZTEPE;ÜÇYOL METRO
491;EVKA 7 - ESBAŞ AKTARMA MERKEZİ;IRMAK MAH.-GAZİEMİR İLÇE MERKEZİ-SARNIÇ;;EVKA 7;SARNIÇ AKTARMA MERKEZİ
498;EVKA 3 METRO - HALKAPINAR METRO;DUMLUPINAR CAD. - YZB İBRAHİM HAKKI CAD. - ADLİYE;;EVKA3 METRO;HALKAPINAR METRO
501;ÇİÇEK MAH. - HALKAPINAR METRO;MANAS BULV - ADLİYE - ÇINARLI EML.;;ÇİÇEK MAH.;HALKAPINAR METRO
502;CENGİZHAN - HALKAPINAR METRO;BAYRAKLI ŞEHİR HASTANESİ - MANAS BULV - ADLİYE - ÇINARLI EML.;;CENGİZHAN;HALKAPINAR METRO
503;BARIŞ KAHVESİ - HALKAPINAR METRO;ÇAY MAH - ADLİYE - ÇINARLI EML.;HAFTA İÇİ GÜNLERİ SABAH 06.50-07.10-07.30-07.50-08.10-08.30 SERVİSLERİ ÇAY MAHALLESİ SON DURAKTAN BAŞLAR.;BARIŞ KAHVESİ;HALKAPINAR METRO
504;FUAT EDİP BAKSI - HALKAPINAR METRO;MANAS BULV - ADLİYE - ÇINARLI EML.;;F.EDİP BAKSI;HALKAPINAR METRO
505;ÇAMKULE - BORNOVA METRO;ALTINDAĞ - OTOGAR - BORNOVA ANADOLU LİSESİ;;ÇAMKULE;BORNOVA METRO
508;MENDERES - KONAK;KARABAĞLAR-ÜÇYOL-VARYANT;;MENDERES;KONAK
510;GAZİEMİR - BALÇOVA;SERBEST BÖLGE - ÇEVRE YOLU-F.ALTAY;;GAZİEMİR;BALÇOVA
513;GAZİ MEYDANI - HALKAPINAR METRO;ÇAY MAH - ADLİYE - ÇINARLI EML.;;GAZİ MEYDANI;HALKAPINAR METRO
515;TINAZTEPE - EVKA3 METRO;MANAVKUYU-ADLİYE-YEŞİLDERE-MENDERES CAD.;;TINAZTEPE;EVKA3 METRO
516;YENİTEPE EVLERİ - GAZİEMİR SEMT GARAJI;UZUNDERE - AKTEPE;;YENİTEPE EVLERİ;GAZİEMİR SEMT GARAJI
517;UZUNDERE TOPLU KONUTLARI - F.ALTAY ;İHSAN ALYANAK BUL. - POLİGON METRO;;UZUNDERE TOPLU KONUTLARI;F.ALTAY
520;SALİH OMURTAK - ÜÇYOL METRO;ATATÜRK EĞT.ARŞ.HAST.- BASIN SİTESİ - KOOP EVLERİ;;SALİH OMURTAK;ÜÇYOL METRO
522;UZUNDERE TOPLU KONUTLARI - ÜÇYOL METRO;ESKİ İZMİR CAD. - BOZYAKA EĞT. ARŞ. HAST.;;UZUNDERE TOPLU KONUTLARI;ÜÇYOL METRO
523;UZUNDERE - ÜÇYOL METRO;İHSAN ALYANAK BUL. - ATATÜRK EĞİT. VE ARAŞ. HAST.;;UZUNDERE;ÜÇYOL METRO
524;CENNETÇEŞME - ÜÇYOL METRO;YURTOĞLU - İHSAN ALYANAK BULVARI-ATATÜRK EĞİTİM ARAŞTIRMA HASTANESİ;;CENNETÇEŞME;ÜÇYOL METRO
529;YAKAKENT MAHALLESİ - ÇİĞLİ AKTARMA MERKEZİ;ŞİRİNTEPE - ÇİĞLİ KOOP.;Olumsuz Hava Koşulları'nda Yakakent Son Durak, Çamlıkent Meydan, Çamlıkent Çıkış , Çamlıkent duraklarına hizmet verilemeyecektir.;YAKAKENT MAHALLESİ;ÇİĞLİ AKTARMA MERKEZİ
532;BAYRAKLI ŞEHİR HASTANESİ - BOSTANLI İSKELE;GİRNE BULVARI;HATTIMIZ RİNG HAT OLUP HASTANEDEN SAAT UYGULAMASI YOKTUR.;ŞEHİR HASTANESİ;BOSTANLI İSKELE
533;BAYRAKLI ŞEHİR HASTANESİ - BORNOVA METRO;ÇEVRE YOLU;HATTIMIZ RİNG HAT OLUP HASTANEDEN SAAT UYGULAMASI YOKTUR.;ŞEHİR HASTANESİ;BORNOVA METRO
534;BAYRAKLI ŞEHİR HASTANESİ -  HALKAPINAR METRO;YÜZBAŞI İBRAHİM HAKKI CAD. SMYRNA MEYDANI;HATTIMIZ RİNG HAT OLUP HASTANEDEN SAAT UYGULAMASI YOKTUR.;BAYRAKLI ŞEHİR HASTANESI;HALKAPINAR METRO
535;BAYRAKLI ŞEHİR HASTANESİ - EGEKENT AKTARMA MERKEZİ;Anadolu Caddesi - Yeni Girne Caddesi;HATTIMIZ RİNG HAT OLUP BAYRAKLI ŞEHİR HASTANESİNDEN SAAT UYGULAMASI YOKTUR;BAYRAKLI ŞEHİR HASTANESİ;EGEKENT AKTARMA MERKEZİ
537;BAYRAKLI ŞEHİR HASTANESİ-DOĞANÇAY ;Yamanlar - Org. Nafiz Gürman - Emek - Gümüşpala - Körfez;;BAYRAKLI ŞEHİR HASTANESİ;DOĞANÇAY
539;YENİTEPE EVLERİ - SALHANE AKTARMA MERKEZİ;YEŞİLDERE - MERSİNLİ - ADLİYE;;YENİTEPE EVLERİ;SALHANE AKTARMA MERKEZİ
543;BOSTANLI İSKELE - H.PINAR METRO;BAYRAKLI - ADLİYE - MERSİNLİ;;BOSTANLI İSKELE;HALKAPINAR METRO
547;ÇİĞLİ AKTARMA MERKEZİ - BOSTANLI İSKELE;ATAŞEHİR MAH.-CAHER DUDAYEV BULV.-ŞEHİTLER BULV;;ÇİĞLİ AKT.;BOSTANLI İSKELE
550;GÜNALTAY - KONAK;ESERKENT-ZİNCİRLİKUYU-ÜÇYOL;;GÜNALTAY;KONAK
551;NARLIDERE - F.ALTAY;NARLİDERE İSTİHKAM - 9 EYLÜL HAST - SAKARYA CAD.;;NARLIDERE;F.ALTAY
555;OTOGAR - HALKAPINAR METRO;YEŞİLOVA - MERSİNLİ;;OTOGAR;HALKAPINAR METRO
556;ÇAMLIK - ÜÇYOL METRO;DOSTLUK BULVARI-ZİNCİRLİ KUYU - BOZYAKA EĞT.ARŞ.HAST.;;ÇAMLIK;ÜÇYOL METRO
557;BAYRAKLI TOPLU KONUTLAR - BAYRAKLI İZBAN ;CENGİZHAN - ALPASLAN;HATTIMIZ RİNG HAT OLUP BAYRAKLI İZBANDAN SAAT UYGULAMASI YOKTUR.;BAYRAKLI TOPLU KONUTLAR;BAYRAKLI İZBAN
558;BAYRAKLI TOPLU KONUTLARI - BORNOVA METRO EKSPRES;ÇEVRE YOLU-EGE ÜNİVERSİTESİ HASTANESİ;;BAYRAKLI TOPLU KONUTLARI;BORNOVA METRO
559;BAYRAKLI TOPLU KONUTLARI - EVKA3 METRO;Çevreyolu - Özkanlar - Bornova Hükümet Konağı;;BAYRAKLI TOPLU KONUTLARI;EVKA3 METRO
560;PINARBAŞI - HALKAPINAR METRO;5.SANAYİ - OTOGAR - KAMİL TUNCA;;PINARBAŞI;HALKAPINAR METRO
564;AYAKKABICILAR SİTESİ - HALKAPINAR METRO;IŞIKKENT - OTOGAR - KAMİL TUNCA;;AYAKKABICILAR SİTESİ;HALKAPINAR METRO
565;EVKA 4 - BORNOVA METRO;İNÖNÜ MAH. - HÜKÜMET KONAĞI;;EVKA-4;BORNOVA METRO
566;EVKA 4 - BORNOVA METRO;ERSOY CAD.- HÜKÜMET KONAĞI;Hattımız 06:00 - 09:00 saatleri arasında ring yapmaktadır.;EVKA-4;BORNOVA METRO
568;EVKA 4 - BORNOVA METRO;ATATÜRK MAH. - OSMANGAZİ - BORNOVA MERKEZ;;EVKA-4;BORNOVA METRO
570;LAKA MAHALLESİ - BORNOVA METRO;DUMLUPINAR CAD. - BORNOVA MERKEZ;;LAKA MAH.;BORNOVA METRO
575;MALİYECİLER MAHALLESİ - ÜÇYOL METRO;Atatürk Eğt. Arş. Hast. - Ordu Caddesi;;MALİYECİLER MAHALLESİ;ÜÇYOL METRO
577;NAFİZ GÜRMAN-HALKAPINAR METRO 2;NAFİZ GÜRMAN - KUBİLAY CAD. - HALKAPINAR METRO 2;;NAFİZ GÜRMAN;HALKAPINAR METRO 2
579;YEŞİLYURT - ÜÇYOL METRO;ATATÜRK EĞT.ARŞ.HAST.-ORDU CAD.;HATTIMIZ RİNG HAT OLUP ÜÇYOL METRO'DAN SAAT UYGULAMASI YOKTUR.;YEŞİLYURT;ÜÇYOL METRO
584;İNÖNÜ MAH. - BORNOVA METRO;İNÖNÜ MAH. - ATATÜRK MAH.;;İNÖNÜ MAH.;BORNOVA METRO
585;EVKA 4 - BORNOVA METRO;ATATÜRK MAH. - HÜRRİYET CAD. - ERSOY CAD.;;EVKA-4;BORNOVA METRO
587;LİMONTEPE - KONAK;ESKİİZMİR CAD.-SAİM ÇIKRIKÇI CAD.-BOZYAKA EĞT.ARŞ.HAST.;;LİMONTEPE;KONAK
588;YENİ ÇAMLIK - KONAK;BARIŞ MAHALLESİ-BOZYAKA - KİLİMCİTEPE;;YENİ ÇAMLIK;KONAK
595;9 EYLÜL MAHALLESI - BOSTANLI İSKELE;KATİP ÇELEBİ ÜNİVERSİTESİ - ATAŞEHİR - ATAKENT;;9 EYLÜL MAH.;BOSTANLI İSKELE
596;KATIP ÇELEBI ÜNIVERSITESI - EGEKENT AKTARMA MERKEZİ;KATİP ÇELEBİ ÜNİVERSİTESİ;;KATİP ÇELEBİ ÜNİVERSİTESİ;EGEKENT AKT.
597;M. ERENER - BAYRAKLI SEVGİ YOLU ;ÇAY MAHALLESİ;HAFTA İÇİ GÜNLERİ BAYRAKLI SEVGİ YOLUNDAN 16.00 SERVİSİ ADLİYEDEN BAŞLAR.;M. ERENER;BAYRAKLI SEVGİ YOLU
598;BAYRAKLI TOPLU KONUTLARI - BAYRAKLI İZBAN;CENGİZHAN - BAYRAKLI SEVGİ YOLU;HATTIMIZ RİNG HAT OLUP BAYRAKLI İZBANDAN SAAT UYGULAMASI YOKTUR.;BAYRAKLI TOPLU KONUTLARI;BAYRAKLI İZBAN
599;M.ERENER - HALKAPINAR METRO;BAYRAKLI ŞEHİR HASTANESİ - ÇAY MAH. - ADLİYE - ÇINARLI EML.;;M.ERENER;HALKAPINAR METRO
602;MENEMEN AKTARMA - İZMİR OTOGAR ;ANADOLU CD. - PARK BORNOVA  ;ESHOT otogar son durağını kullanmaktadır.;MENEMEN AKTARMA;İZMİR OTOGAR
608;EGEKENT 2 - İZMİR OTOGAR ;HARMANDALI - ANADOLU CD. - PARK BORNOVA ;;EGEKENT 2;İZMİR OTOGAR
609;KÖFÜNDERE-ÖDEMİŞ;Kaymakçı-Ödemiş Müzesi;;KÖFÜNDERE;ÖDEMİŞ
610;FUAR İZMİR - GAZİEMİR SEMT GARAJI;AKTEPE - AKÇAY CAD.;Hafta içi günleri 06.45 servisi Esbaş Aktarma Merkezi'nden başlar.;FUAR İZMİR;GAZİEMİR SEMT GARAJI
611;ÇAYLI-ÖDEMİŞ;Kaymakçı-Yolüstü-Ödemiş Müzesi;;ÇAYLI;ÖDEMİŞ
616;KAYMAKÇI-ÖDEMİŞ;Kaymakçı Cezaevi-Ödemiş Müzesi;;KAYMAKÇI;ÖDEMİŞ
618;ERTUĞRULKÖY-ÖDEMİŞ;Ödemiş Müzesi;;ERTUĞRUL KÖY;ÖDEMİŞ
619;SEYREK - ULUKENT AKTARMA MERKEZİ 2 ;BAKIRÇAY ÜNİVERSİTESİ - GÜNERLİ MAH.;;SEYREK;ULUKENT AKTARMA MERKEZİ
621;KURUCUOVA-ÖDEMİŞ;Gereli-Gerçekli-Ödemiş Müzesi;;KURUCUOVA;ÖDEMİŞ
640;SIĞACIK - SEFERİHİSAR;Siteler - Akkum Cad. - Sığacık Cad. ;;SIĞACIK;SEFERİHİSAR
641;SEFERİHİSAR TOKİ - SEFERİHİSAR;GÖZSÜZLER CAD. - KARAKAYALAR CAD.;;SEFERİHİSAR TOKİ;SEFERİHİSAR
642;AKARCA - SEFERİHİSAR;Haritacılar Sitesi - Akarca Cad. - Tuzla Cad.;;AKARCA;SEFERİHİSAR
643;DEREKÖY - BERGAMA;İVRİNDİ YOLU - TURANLI YOLU;İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.;DEREKÖY;BERGAMA
644;GÖÇBEYLİ - BERGAMA;BÖLCEK - KADIKÖY - AYASKENT;İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir.;GÖÇBEYLİ;BERGAMA
645;YENİKENT - BERGAMA;AŞAĞIKIRIKLAR - SÜLEYMANLI - OVACIK;;YENİKENT;BERGAMA
646;BERGAMA ORGANİZE SANAYİ BÖLGESİ - BERGAMA;SAĞANCI - PINARKÖY - NARLICA - ÇAMKÖY;;BERGAMA ORGANİZE SANAYİ BÖLGESİ;BERGAMA
648;GAZİ MAHALLESİ - MENEMEN AKTARMA MERKEZİ;GÖÇ İDARESİ-İNCİRLİ PINAR MAH.-MENEMEN DEV. HAST.;;GAZİ MAHALLESİ;MENEMEN AKTARMA MERKEZİ
650;FUAR İZMİR - BALÇOVA;ÇEVRE YOLU-F.ALTAY-ÜÇKUYULAR İSKELE;;FUAR İZMİR;BALÇOVA
651;OTOGAR - YILDIZEVLER;Hastane-Bayatlı;"Çarşamba günleri 06:00-20:00 saatleri arasında Pazar kurulması nedeniyle; Saltukbey, Okul ve Bakırçay Lisesi duraklarımız kullanım dışı kalmaktadır. Ayrıca hattımız ring hat olup,Yıldızevler'den saat uygulaması yoktur.";OTOGAR;YILDIZEVLER
652;OTOGAR - ÖĞRETMENEVİ;Hastane;HATTIMIZ RİNG HAT OLUP ÖĞRETMENEVİ'NDEN SAAT UYGULAMASI YOKTUR;OTOGAR;ÖĞRETMENEVİ
653;OTOGAR - TEPEKÖY;Hastane-Cezaevi;HATTIMIZ RİNG HAT OLUP TEPEKÖY'DEN SAAT UYGULAMASI YOKTUR;OTOGAR;TEPEKÖY
656;DEVLET HASTANESİ - DİKİLİSULTAN;Pazaryeri-Çarşı;HATTIMIZ RİNG HAT OLUP, DİKİLİSULTAN'DAN SAAT UYGULAMASI YOKTUR;DEVLET HASTANESİ;DİKİLİSULTAN
657;MALTEPE - MENEMEN AKTARMA MERKEZİ;VİLLAKENT-VİLLAKENT ANADOLU LİSESİ-KESİK;;MALTEPE;MENEMEN AKTARMA MERKEZİ
658;TOKİ - MENEMEN AKTARMA MERKEZİ;ASARLIK TOKİ EVLERİ-80. YIL CADDESİ-MENEMEN DEVLET HASTANESİ;;TOKİ;MENEMEN AKTARMA MERKEZİ
660;YENİ FOÇA - İZMİR OTOGAR;KARAGÖZ CADDESİ-ANADOLU CADDESİ-ANKARA CADDESİ;;YENİ FOÇA;OTOGAR
662;CENGİZHAN - KEMER;ADLİYE - MERSİNLİ - YENİŞEHİR HASTANELER;;CENGİZHAN;KEMER AKT.
664;YENİ FOÇA - ESKI FOÇA;MERSİNAKİ CADDESİ-FOÇA KAYMAKAMLIK;;YENİ FOÇA;ESKI FOÇA
