DURAK_ID;DURAK_ADI;ENLEM;BOYLAM;DURAKTAN_GECEN_HATLAR
10502;Fahrettin Altay Meydan 8;38.39639758669010;27.069755385092;311-551-945
10503;Mehmetçik;38.395650;27.069415;311-486-517-551-681-879-945
10504;Fahrettin Altay;38.3872;27.0730;311-517-551-681-879-945
10505;Ordu Pazarı;38.3925;27.0714;486-517-551-681-879
10506;Mehmetçik;38.39520043630860;27.06970073976070;486-517-681-879
10507;İkinci Oyak Sitesi;38.3899;27.0716;486-517-551-681-879
10512;Ordu Pazarı;38.393052;27.070934;486-517-551-681-879
10514;İkinci Oyak Sitesi;38.38956843232170;27.07133173839110;517-551-681-879
10517;Demokrasi Üniversitesi;38.39260043661730;27.07230073120330;311-945
10518;Demokrasi Üniversitesi;38.39321590205340;27.072046176132;311-945
10519;Sadettin Tezcan Özel Eğitim Meslek Okulu;38.39040043590540;27.07380072694450;311-945
10520;Sadettin Tezcan Özel Eğitim Meslek Okulu;38.39040043557670;27.07350072823880;311-945
10521;Esentepe Aile Hekimliği;38.3902;27.0756;311-945
10522;Esentepe Aile Hekimliği;38.3903;27.0756;311-945
10523;Esentepe Kültür Merkezi;38.38870043637130;27.07600071913750;311-945
10524;Esentepe Kültür Merkezi;38.3889;27.0761;311-945
10525;Öğretmenler ve Şeker Mevhibe Ortaokulu;38.38757186415620;27.07745525790970;311-945
10526;Öğretmenler ve Şeker Mevhibe Ortaokulu;38.38760043678890;27.07760071334610;311-945
10527;Orkide;38.3861;27.0772;311-945
10528;Orkide;38.3862;27.0783;311-945
10529;Gelinler;38.3864;27.0752;311-945
10530;Gelinler;38.3862;27.0759;311-945
10531;Esentepe Basket Sahası;38.38810114524390;27.07399999280690;311-945
10532;Esentepe Basket Sahası;38.38747543951420;27.07424770570970;311-945
10533;Çocuk parkı;38.3893;27.0721;311-945
10534;Çocuk parkı;38.38919461843170;27.07225336246320;311-945
10543;Fevzi Çakmak;38.3908;27.0696;486
10544;Fevzi Çakmak;38.3907;27.0696;486
10545;Oyak Sitesi Son Durak;38.3917;27.0676;486
10554;Vasıf Çınar;38.43021633943970;27.14076039539910;202-910-940-950
10559;Küçük Park;38.3701;27.0847;25
10561;Meşale;38.362144;27.084768;25-517-522-671-873-877
10562;Meşale;38.3623;27.0844;25-517-522-671-873-877
10563;Olimpiyat Köyü Giriş;38.366584;27.082767;25
10564;Olimpiyat Köyü Giriş;38.3663;27.0829;25
10565;Olimpiyat Köyü Çarşı;38.3712;27.0821;25
10566;Olimpiyat Köyü Çarşı;38.3711;27.0818;25
10567;Atletizm;38.3712;27.0833;25
10568;Atletizm;38.3712;27.0836;25
10569;Olimpiyat Köy Havuzu;38.36980042087470;27.08660068749340;25
10570;Olimpiyat Köy Havuzu;38.36990042094830;27.08650068785540;25
10571;Olimpiyat Köyü;38.37154766420750;27.08739420449470;25
10574;Ülkü Sineması;38.4184;27.1578;34-39-418-466-838
10575;Ülkü Sineması;38.4186;27.1578;34-39-418-466-838
10576;Gürçeşme;38.4162;27.1592;34-39-418-466-838
10577;Gürçeşme;38.4166;27.1591;34-39-418-466-838
10578;Gürçeşme Cami;38.4141;27.1607;34-39-418-466-838
10579;Gürçeşme Cami;38.4140;27.1608;34-39-418-466-838
10580;İsmet Paşa Sağlık Ocağı;38.410780;27.159625;39-418-466-838
10581;İsmet Paşa Sağlık Ocağı;38.410443;27.159612;39-418-466-838
10582;İğdeli Kahve;38.4078;27.1568;418-466
10583;İğdeli Kahve;38.40782816814610;27.15707036405150;418-466
10584;Yeni Cami;38.4065;27.1544;418-466
10585;Yeni Cami;38.40684557784940;27.15505335734530;418-466
10586;Gürçeşme Karakol;38.4048;27.1521;418-466
10597;Beyazevler Sağlık Ocağı;38.3422;27.1399;233-353-491-818
10598;Beyazevler Sağlık Ocağı;38.3422;27.1401;233-353-491-818
10605;Mevlüt Aysun Özer İlkokulu;38.340100390642;27.14214449731570;233-353-818
10606;Mevlüt Aysun Özer İlkokulu;38.340300391432;27.14260049595190;233-353-818
10611;Osman Öksüz Parkı;38.40418413260680;27.12264367467120;27-84-89-92-108-124-156-157-522-550-556-587-588-823
10612;Osman Öksüz Parkı;38.4036;27.1234;92-108-152-490-508-550-587-887-910
10613;Üçyol Sevgi Yolu Parkı;38.40498452014920;27.12217049757020;152-508-910
10615;İller Bankası;38.4002;27.1272;27-92-108-152-156-157-490-508-887-910
10616;İller Bankası;38.400760;27.126867;92-108-152-490-508-887-910
10617;Elka;38.3978;27.1303;27-92-108-152-156-157-490-508-691-887-910
10618;Elka;38.3973;27.1315;27-92-108-152-156-157-508-691-887-910
10622;Ataköy Güven;38.089997071945;27.18072194738790;775
10623;Ataköy Güven;38.08986807413330;27.18014694382950;775
10625;Hasan Hüseyinler;38.392116;27.134438;27-92-108-152-156-157-200-508-539-691-887-910
10626;Hasan Hüseyinler;38.391845;27.134899;27-92-108-152-156-157-508-691-887-910
10628;Orcaner;38.386986;27.134977;27-92-108-152-156-157-200-508-539-691-887-910
10629;Orcaner;38.38685950213230;27.13442448423920;27-92-108-152-156-157-200-508-539-691-887-910
10630;Çitlenbik;38.3839;27.1351;27-92-152-156-157-200-508-539-691-887-910
10631;Çitlenbik;38.382290;27.134537;27-92-152-156-157-200-508-539-691-887-910
10632;Kaymakkuyu;38.38019148807610;27.13500749274960;27-92-152-156-157-200-539-691-887-910
10633;Kaymakkuyu;38.378260;27.134584;92-152-200-508-539-691-887-910
10634;Karabağlar Cumhuriyet Anadolu Lisesi;38.37625047915360;27.13508749798370;92-152-200-508-539-691-887-910
10635;Karabağlar Cumhuriyet Anadolu Lisesi;38.37333747205690;27.13479350274230;92-152-200-508-539-691-887-910
10636;Söğüt;38.3718;27.1356;92-152-200-508-539-691-887-910
10637;Kızılcık;38.3701;27.1356;152-200-508-539-691-887-910
10638;Kızılcık;38.369984;27.136067;92-152-200-508-539-691-887-910
10639;Paşa Köprüsü;38.367506;27.136315;152-200-508-539-691-887-910
10640;Paşa Köprüsü;38.36777946062750;27.13666650217180;152-200-508-539-691-887-910
10641;Karabağlar;38.36415845208370;27.13710850401530;152-200-508-539-691-887-910
10642;Karabağlar;38.36411145237020;27.13756150248530;152-200-508-539-691-887-910
10644;TRT;38.25439796284820;27.25786322884750;697-705-806-858
10645;TRT;38.25399996016290;27.25790222820730;697-705-806-858
10646;Selçuk Şehit Erol Olçok Anadolu Lisesi;37.94530548652830;27.36730402441040;693-694-743-770
10647;Selçuk Şehit Erol Olçok Anadolu Lisesi;37.94521903731490;27.36695271711220;693-694-743-770
10648;Torbalı Devlet Hastanesi;38.176774;27.358171;697-713-714-715-795-806
10649;Torbalı Devlet Hastanesi;38.176407;27.358611;697-713-714-715-795-806
10651;Sinem;38.3596;27.1363;152-200-485-508-539-691-887-910
10652;Sinem;38.3603;27.1371;152-200-485-508-539-691-887-910
10653;Gaziemir Semt Garajı;38.35704343223810;27.13478951690810;152-200-508-516-539-610-691-823-828-877-879-887-891-910
10654;Gaziemir Semt Garajı;38.35730273828890;27.13562151352840;152-200-516-539-691-887-910
10655;Emrez;38.3555;27.1340;152-200-508-516-539-610-691-823-828-877-879-887-891-910
10656;Aktepe;38.3526;27.1340;152-200-508-516-539-610-691-823-828-877-879-887-891-910
10657;Aktepe;38.3518;27.1334;152-200-508-516-539-610-691-823-828-877-879-887-891-910
10659;Altıncı Sanayi Kavşağı;38.3408;27.1331;200-202-204-206-510-697-806-858-910
10660;Ege Serbest Bölge;38.33720037903390;27.13400052134810;152-200-202-204-206-353-508-510-691-697-806-808-828-858-887-891-910
10661;Ege Serbest Bölge;38.33572337484640;27.13377552146880;152-200-202-204-206-353-508-510-691-697-806-808-858-887-891-910
10662;Leylak;38.3331;27.1348;152-200-202-204-206-353-508-510-691-697-806-808-858-887-891-910
10663;Leylak;38.3309;27.1352;152-200-202-204-206-353-508-510-691-697-806-808-858-887-891-910
10664;Ulaştırma;38.32970692778010;27.13591787668570;152-200-202-204-206-353-508-510-691-697-806-808-858-887-891-910
10665;Ulaştırma;38.3282;27.1360;152-200-202-204-206-353-508-510-691-697-806-808-858-887-891-910
10666;Askeri Lojmanlar;38.3237;27.1371;200-202-204-206-508-697-806-808-858-887
10667;Gaziemir Alt Geçidi;38.3247;27.1366;200-202-204-206-508-697-806-808-858-887
10668;Kolej;38.32090033244540;27.137900499160;200-202-204-206-508-697-806-808-858-887
10669;Kolej;38.32090033242450;27.13760049997230;200-202-204-206-508-697-806-808-858-887
10670;Gaziemir İlçe Emniyet;38.3169;27.1406;200-202-204-206-508-697-806-808-858-887
10671;Gaziemir İlçe Emniyet;38.3167;27.1404;200-202-204-206-508-697-806-808-858-887
10672;Sarnıç Alt Geçidi;38.31280030693980;27.14260047754620;697-806-858-887
10673;Sarnıç Alt Geçidi;38.31139449309730;27.14212538673960;200-202-204-206-697-806-808-858
10674;Emlak Bankası Evleri;38.3087;27.1426;200-202-204-206-508-697-806-808-858
10675;Emlak Bankası Evleri;38.309092;27.142331;200-202-204-206-508-697-806-808-858
10676;Seçkinler Sitesi;38.3061;27.1418;200-202-204-206-508-697-806-808-858
10677;Seçkinler Sitesi;38.3061;27.1415;200-202-204-206-508-697-806-808-858
10678;Gaziemir Aktarma Merkezi;38.35726350954580;27.13556170159840;485-508-610-823-828-877-879-891
10679;Akçay;38.310871;27.142586;200-202-204-206-508-697-806-808-858
10681;Tarım Kooperatifi;37.963707;27.373080;743-770
10682;Tarım Kooperatifi;37.963480;27.373373;743-770
10685;Ürkmez Kumsal;38.07732565431530;26.93997990758850;776-986-987-989
